ID SPPG	Nama SPPG VALID	AREA	AREA CONFIRMED	Prioritas Installasi (P1/P2/P3)
G4QSBHHM	SPPG JAMBUDIPA, CISARUA #002	BANDUNG	LEM	P2
GMDIFXH1	SPPG CINENGAH, RONGGA #002	BANDUNG	GNH	P3
TVJKS7GX	SPPG BUDIHARJA, CILILIN	BANDUNG	CLL	P3
V0ZNBOAJ	SPPG CIPEUNDEUY, CIPEUNDEUY #002	BANDUNG	CKW	P3
XFZ8EUZA	SPPG CIBURUY, PADALARANG #006	BANDUNG	PDL	P1
YQ7KTGX5	SPPG SIRNAJAYA, GUNUNGHALU #005	BANDUNG	GNH	P3
APNIT5JR	SPPG SIRNAGALIH, SINDANGBARANG #001	BANDUNG	CJR	P3
C2L2Z1KJ	SPPG RANCAGOONG, CILAKU #005	BANDUNG	CJR	P1
CC5SYHQU	SPPG SUKAJADI, CAMPAKA #003	BANDUNG	CJR	P3
DAFPPEWF	SPPG SUKASARI, CILAKU #001	BANDUNG	CJR	P1
FKJ1FXRP	SPPG SUKANAGALIH, PACET #003	BANDUNG	CJR	P2
FUZALLWW	SPPG LIMBANGANSARI, CIANJUR #002	BANDUNG	CJR	
OEGWG45L	SPPG HEGARMANAH, KARANGTENGAH #005	BANDUNG	CJR	P1
SYQIVA8T	SPPG SINDANGLAKA, KARANGTENGAH #002	BANDUNG	CJR	P1
T9RDWCOX	SPPG CIKAROYA, WARUNGKONDANG #002	BANDUNG	CJR	P1
UGDDUUHI	SPPG CIBADAK, SUKARESMI #001	BANDUNG	CJR	P2
VRKZNDMU	SPPG SAYANG, CIANJUR #002	BANDUNG	CJR	P1
WSFAOCOR	SPPG CIRANJANG, CIRANJANG #001	BANDUNG	CJR	P1
KSCSP3S1	SPPG CIBADUYUT, BOJONGLOA KIDUL #001	BANDUNG	TLE	P1
OAS1GTBV	SPPG BABAKAN, BABAKAN CIPARAY #003	BANDUNG	RJW	P1
Q4O2IBYA	SPPG PASIR ENDAH, UJUNGBERUNG #001	BANDUNG	UBR	P1
3KRF6DCY	SPPG CIBEUREUM, CIMAHI SELATAN #004	BANDUNG	RJW	P1
BX2W9CT0	SPPG PADASUKA, CIMAHI TENGAH #002	BANDUNG	CMI	P1
